stimulus_id,stimulus_text,response_start,response_end,response_duration,response_file,transcription,text_prompted,text_plain,asr_strategy,over_anchored,cross_wer,transcription_norm,stimulus_norm,wer,cer,learner_wer,learner_score,asr_wer,word_f1,n_ref_words,n_hyp_words,no_speech_prob,asr_status,backend,elapsed_s,word_timestamps,drift_corrected
1,Quiero cortarme el pelo,6.0,8.0,2.0,eit_output_v3/038011_1A_preprocessed/responses/response_01.wav,Quiero cortarme el pelo,Quiero cortarme el pelo,Quiero cortarme a pelo.,prompted,False,0.25,quiero cortarme el pelo,quiero cortarme el pelo,0.0,0.0,0.0,1.0,,1.0,4,4,0.0014,OK,mlx,1.047,"[{""word"": ""Quiero"", ""start"": 0.0, ""end"": 0.46, ""probability"": 0.849609375}, {""word"": ""cortarme"", ""start"": 0.46, ""end"": 1.22, ""probability"": 0.9423828125}, {""word"": ""el"", ""start"": 1.22, ""end"": 1.46, ""probability"": 0.036468505859375}, {""word"": ""pelo"", ""start"": 1.46, ""end"": 1.8, ""probability"": 0.71923828125}]",False
2,El libro está en la mesa,13.2,14.8,1.6,eit_output_v3/038011_1A_preprocessed/responses/response_02.wav,El libro está en la mesa,El libro está en la mesa,El libro está en la mesa.,prompted,False,0.0,el libro está en la mesa,el libro está en la mesa,0.0,0.0,0.0,1.0,,1.0,6,6,0.0021,OK,mlx,1.012,"[{""word"": ""El"", ""start"": 0.0, ""end"": 0.28, ""probability"": 0.80078125}, {""word"": ""libro"", ""start"": 0.28, ""end"": 0.52, ""probability"": 0.86376953125}, {""word"": ""está"", ""start"": 0.52, ""end"": 0.92, ""probability"": 0.888671875}, {""word"": ""en"", ""start"": 0.92, ""end"": 1.04, ""probability"": 0.99462890625}, {""word"": ""la"", ""start"": 1.04, ""end"": 1.18, ""probability"": 0.99658203125}, {""word"": ""mesa"", ""start"": 1.18, ""end"": 1.5, ""probability"": 0.9990234375}]",False
3,El carro lo tiene Pedro,20.6,22.4,1.8,eit_output_v3/038011_1A_preprocessed/responses/response_03.wav,El carro no tiene Pedro,El carro no tiene Pedro,El carro no tiene pelo.,prompted,False,0.2,el carro no tiene pedro,el carro lo tiene pedro,0.2,0.0435,0.2,0.8,,0.8,5,5,0.0015,OK,mlx,0.962,"[{""word"": ""El"", ""start"": 0.0, ""end"": 0.3, ""probability"": 0.70703125}, {""word"": ""carro"", ""start"": 0.3, ""end"": 0.7, ""probability"": 0.98876953125}, {""word"": ""no"", ""start"": 0.7, ""end"": 0.98, ""probability"": 0.96826171875}, {""word"": ""tiene"", ""start"": 0.98, ""end"": 1.32, ""probability"": 0.99658203125}, {""word"": ""Pedro"", ""start"": 1.32, ""end"": 1.7, ""probability"": 0.0005784034729003906}]",False
4,El se ducha cada mañana,28.6,31.1,2.5,eit_output_v3/038011_1A_preprocessed/responses/response_04.wav,"A la sede, o sea, cara mañana.",El se ducha cada mañana,"A la sede, o sea, cara mañana.",plain_fallback,True,1.0,a la sede o sea cara mañana,el se ducha cada mañana,1.0,0.4348,1.0,0.0,,0.1667,5,7,0.0085,OK,mlx,1.2570000000000001,"[{""word"": ""El"", ""start"": 0.0, ""end"": 0.26, ""probability"": 0.0018482208251953125}, {""word"": ""se"", ""start"": 0.26, ""end"": 0.48, ""probability"": 0.005458831787109375}, {""word"": ""ducha"", ""start"": 0.48, ""end"": 0.92, ""probability"": 0.23046875}, {""word"": ""cada"", ""start"": 0.92, ""end"": 1.9, ""probability"": 0.0753173828125}, {""word"": ""mañana"", ""start"": 1.9, ""end"": 2.22, ""probability"": 0.99169921875}]",False
5,¿Qué dice usted que va a hacer hoy?,37.7,39.9,2.2,eit_output_v3/038011_1A_preprocessed/responses/response_05.wav,¿Qué dice usted en qué base hoy?,¿Qué dice usted que va a hacer hoy?,¿Qué dice usted en qué base hoy?,plain_fallback,True,0.5,qué dice usted en qué base hoy,qué dice usted que va a hacer hoy,0.5,0.303,0.5,0.5,,0.5714,8,7,0.0055,OK,mlx,1.1789999999999998,"[{""word"": ""¿Qué"", ""start"": 0.0, ""end"": 0.28, ""probability"": 0.63671875}, {""word"": ""dice"", ""start"": 0.28, ""end"": 0.58, ""probability"": 0.90087890625}, {""word"": ""usted"", ""start"": 0.58, ""end"": 1.0, ""probability"": 0.86767578125}, {""word"": ""que"", ""start"": 1.0, ""end"": 1.46, ""probability"": 0.03558349609375}, {""word"": ""va"", ""start"": 1.46, ""end"": 1.68, ""probability"": 0.80517578125}, {""word"": ""a"", ""start"": 1.68, ""end"": 1.76, ""probability"": 0.95849609375}, {""word"": ""hacer"", ""start"": 1.76, ""end"": 1.88, ""probability"": 0.80908203125}, {""word"": ""hoy?"", ""start"": 1.88, ""end"": 2.12, ""probability"": 0.9892578125}]",False
6,Dudo que sepa manejar muy bien,46.8,49.9,3.1,eit_output_v3/038011_1A_preprocessed/responses/response_06.wav,Dudo que sepa manejar bien,Dudo que sepa manejar bien,Tuve que se manejar bien.,prompted,False,0.4,dudo que sepa manejar bien,dudo que sepa manejar muy bien,0.1667,0.1333,0.1667,0.8333,,0.9091,6,5,0.0031,OK,mlx,1.071,"[{""word"": ""Dudo"", ""start"": 0.0, ""end"": 0.64, ""probability"": 0.016204833984375}, {""word"": ""que"", ""start"": 0.64, ""end"": 1.34, ""probability"": 0.7265625}, {""word"": ""sepa"", ""start"": 1.34, ""end"": 2.2, ""probability"": 0.417236328125}, {""word"": ""manejar"", ""start"": 2.2, ""end"": 2.64, ""probability"": 0.7998046875}, {""word"": ""bien"", ""start"": 2.64, ""end"": 2.9, ""probability"": 0.99072265625}]",False
7,Las calles de esta ciudad son muy anchas,56.7,61.4,4.7,eit_output_v3/038011_1A_preprocessed/responses/response_07.wav,"Las calles en Salivad, muchas años","Las calles en Salivad, muchas años",Los caes en Salivar muchos años.,prompted,False,0.6667,las calles en salivad muchas años,las calles de esta ciudad son muy anchas,0.75,0.475,0.75,0.25,,0.2857,8,6,0.002,OK,mlx,1.0390000000000001,"[{""word"": ""Las"", ""start"": 0.0, ""end"": 0.36, ""probability"": 0.19677734375}, {""word"": ""calles"", ""start"": 0.36, ""end"": 1.2, ""probability"": 0.51220703125}, {""word"": ""en"", ""start"": 1.2, ""end"": 1.54, ""probability"": 0.810546875}, {""word"": ""Salivad,"", ""start"": 1.54, ""end"": 2.22, ""probability"": 0.34228515625}, {""word"": ""muchas"", ""start"": 2.26, ""end"": 2.86, ""probability"": 0.5986328125}, {""word"": ""años"", ""start"": 2.86, ""end"": 4.28, ""probability"": 0.328125}]",False
8,Puede que llueva mañana todo el día,67.9,70.2,2.3,eit_output_v3/038011_1A_preprocessed/responses/response_08.wav,Puede que llueva mañana todo el día,Puede que llueva mañana todo el día,Puede que llevan mañana todo el día.,prompted,False,0.1429,puede que llueva mañana todo el día,puede que llueva mañana todo el día,0.0,0.0,0.0,1.0,,1.0,7,7,0.0023,OK,mlx,1.068,"[{""word"": ""Puede"", ""start"": 0.0, ""end"": 0.36, ""probability"": 0.66650390625}, {""word"": ""que"", ""start"": 0.36, ""end"": 0.54, ""probability"": 0.986328125}, {""word"": ""llueva"", ""start"": 0.54, ""end"": 0.92, ""probability"": 0.12890625}, {""word"": ""mañana"", ""start"": 0.92, ""end"": 1.3, ""probability"": 0.99267578125}, {""word"": ""todo"", ""start"": 1.3, ""end"": 1.66, ""probability"": 0.485595703125}, {""word"": ""el"", ""start"": 1.66, ""end"": 1.94, ""probability"": 0.869140625}, {""word"": ""día"", ""start"": 1.94, ""end"": 2.14, ""probability"": 0.9931640625}]",False
9,Las casas son muy bonitas pero caras,79.1,82.6,3.5,eit_output_v3/038011_1A_preprocessed/responses/response_09.wav,Las casas son muy bonitas pero caras,Las casas son muy bonitas pero caras,Las casas son muy bonitas pero caras.,prompted,False,0.0,las casas son muy bonitas pero caras,las casas son muy bonitas pero caras,0.0,0.0,0.0,1.0,,1.0,7,7,0.0055,OK,mlx,1.311,"[{""word"": ""Las"", ""start"": 0.0, ""end"": 0.3, ""probability"": 0.87158203125}, {""word"": ""casas"", ""start"": 0.3, ""end"": 0.7, ""probability"": 0.9794921875}, {""word"": ""son"", ""start"": 0.7, ""end"": 0.9, ""probability"": 0.99072265625}, {""word"": ""muy"", ""start"": 0.9, ""end"": 1.12, ""probability"": 0.99560546875}, {""word"": ""bonitas"", ""start"": 1.12, ""end"": 1.76, ""probability"": 0.9609375}, {""word"": ""pero"", ""start"": 1.76, ""end"": 2.6, ""probability"": 0.5126953125}, {""word"": ""caras"", ""start"": 2.6, ""end"": 3.44, ""probability"": 0.9794921875}]",False
10,Me gustan las películas que acaban bien,91.1,93.4,2.3,eit_output_v3/038011_1A_preprocessed/responses/response_10.wav,Me gustan las películas que acaban bien,Me gustan las películas que acaban bien,Me gustan las películas que acaban bien.,prompted,False,0.0,me gustan las películas que acaban bien,me gustan las películas que acaban bien,0.0,0.0,0.0,1.0,,1.0,7,7,0.0028,OK,mlx,1.073,"[{""word"": ""Me"", ""start"": 0.0, ""end"": 0.24, ""probability"": 0.85302734375}, {""word"": ""gustan"", ""start"": 0.24, ""end"": 0.6, ""probability"": 0.8828125}, {""word"": ""las"", ""start"": 0.6, ""end"": 0.76, ""probability"": 0.99169921875}, {""word"": ""películas"", ""start"": 0.76, ""end"": 1.48, ""probability"": 0.974609375}, {""word"": ""que"", ""start"": 1.48, ""end"": 1.62, ""probability"": 0.91748046875}, {""word"": ""acaban"", ""start"": 1.62, ""end"": 2.02, ""probability"": 0.8974609375}, {""word"": ""bien"", ""start"": 2.02, ""end"": 2.2, ""probability"": 0.99609375}]",False
11,El chico con el que yo salgo es español,102.9,107.9,5.0,eit_output_v3/038011_1A_preprocessed/responses/response_11.wav,"El chico conectivo salgo, ¿está bien?","El chico conectivo salgo, ¿está bien?","El chico conectivo salgo, ¿está bien?",prompted,False,0.0,el chico conectivo salgo está bien,el chico con el que yo salgo es español,0.6667,0.4103,0.6667,0.3333,,0.4286,9,6,0.0028,OK,mlx,1.162,"[{""word"": ""El"", ""start"": 0.0, ""end"": 0.34, ""probability"": 0.40087890625}, {""word"": ""chico"", ""start"": 0.34, ""end"": 0.68, ""probability"": 0.9365234375}, {""word"": ""conectivo"", ""start"": 0.68, ""end"": 1.42, ""probability"": 0.892578125}, {""word"": ""salgo,"", ""start"": 1.42, ""end"": 2.36, ""probability"": 0.8388671875}, {""word"": ""¿está"", ""start"": 3.14, ""end"": 4.54, ""probability"": 0.68896484375}, {""word"": ""bien?"", ""start"": 4.54, ""end"": 4.92, ""probability"": 0.9970703125}]",False
12,Después de cenar me fui a dormir tranquilo,115.7,120.8,5.1,eit_output_v3/038011_1A_preprocessed/responses/response_12.wav,Después de cenar me fui a... ...poner tranquilo,Después de cenar me fui a... ...poner tranquilo,Después de cenar me fui a poner tranquilo.,prompted,False,0.0,después de cenar me fui a poner tranquilo,después de cenar me fui a dormir tranquilo,0.125,0.0952,0.125,0.875,,0.875,8,8,0.0025,OK,mlx,1.077,"[{""word"": ""Después"", ""start"": 0.0, ""end"": 0.38, ""probability"": 0.75537109375}, {""word"": ""de"", ""start"": 0.38, ""end"": 0.64, ""probability"": 0.99609375}, {""word"": ""cenar"", ""start"": 0.64, ""end"": 1.14, ""probability"": 0.962890625}, {""word"": ""me"", ""start"": 1.14, ""end"": 1.4, ""probability"": 0.5380859375}, {""word"": ""fui"", ""start"": 1.4, ""end"": 1.68, ""probability"": 0.98828125}, {""word"": ""a..."", ""start"": 1.68, ""end"": 2.32, ""probability"": 0.64501953125}, {""word"": ""...poner"", ""start"": 3.62, ""end"": 4.0, ""probability"": 0.583984375}, {""word"": ""tranquilo"", ""start"": 4.0, ""end"": 5.04, ""probability"": 0.966796875}]",False
