stimulus_id,stimulus_text,response_start,response_end,response_duration,response_file,transcription,transcription_norm,stimulus_norm,wer,cer,n_ref_words,n_hyp_words,no_speech_prob,asr_status,backend,elapsed_s,word_timestamps,drift_corrected
1,Quiero cortarme el pelo,5.3,7.0,1.7,eit_output_v3/038010_2A_preprocessed/responses/response_01.wav,Quiero cortarme el pelo.,quiero cortarme el pelo,quiero cortarme el pelo,0.0,0.0,4,4,0.0148,OK,mlx,76.124,"[{""word"": ""Quiero"", ""start"": 0.0, ""end"": 0.28, ""probability"": 0.94140625}, {""word"": ""cortarme"", ""start"": 0.28, ""end"": 0.94, ""probability"": 0.99267578125}, {""word"": ""el"", ""start"": 0.94, ""end"": 1.2, ""probability"": 0.95751953125}, {""word"": ""pelo."", ""start"": 1.2, ""end"": 1.56, ""probability"": 0.99951171875}]",False
2,El libro está en la mesa,12.6,14.3,1.7,eit_output_v3/038010_2A_preprocessed/responses/response_02.wav,El libro está en la mesa.,el libro está en la mesa,el libro está en la mesa,0.0,0.0,6,6,0.0483,OK,mlx,78.585,"[{""word"": ""El"", ""start"": 0.0, ""end"": 0.16, ""probability"": 0.96728515625}, {""word"": ""libro"", ""start"": 0.16, ""end"": 0.44, ""probability"": 0.99560546875}, {""word"": ""está"", ""start"": 0.44, ""end"": 0.8, ""probability"": 0.98291015625}, {""word"": ""en"", ""start"": 0.8, ""end"": 1.06, ""probability"": 0.99951171875}, {""word"": ""la"", ""start"": 1.06, ""end"": 1.2, ""probability"": 0.96142578125}, {""word"": ""mesa."", ""start"": 1.2, ""end"": 1.54, ""probability"": 1.0}]",False
3,El carro lo tiene Pedro,20.0,21.9,1.9,eit_output_v3/038010_2A_preprocessed/responses/response_03.wav,El caro lo tiene pelo.,el caro lo tiene pelo,el carro lo tiene pedro,0.4,0.1304,5,5,0.0243,OK,mlx,80.202,"[{""word"": ""El"", ""start"": 0.0, ""end"": 0.2, ""probability"": 0.8896484375}, {""word"": ""caro"", ""start"": 0.2, ""end"": 0.7, ""probability"": 0.59716796875}, {""word"": ""lo"", ""start"": 0.7, ""end"": 0.9, ""probability"": 0.62255859375}, {""word"": ""tiene"", ""start"": 0.9, ""end"": 1.24, ""probability"": 0.99755859375}, {""word"": ""pelo."", ""start"": 1.24, ""end"": 1.68, ""probability"": 0.5458984375}]",False
4,El se ducha cada mañana,28.1,29.9,1.8,eit_output_v3/038010_2A_preprocessed/responses/response_04.wav,"El C2C, carmen llana.",el c2c carmen llana,el se ducha cada mañana,0.8,0.6087,5,4,0.3794,OK,mlx,76.214,"[{""word"": ""El"", ""start"": 0.0, ""end"": 0.24, ""probability"": 0.498291015625}, {""word"": ""C2C,"", ""start"": 0.24, ""end"": 0.88, ""probability"": 0.52490234375}, {""word"": ""carmen"", ""start"": 0.92, ""end"": 1.4, ""probability"": 0.32568359375}, {""word"": ""llana."", ""start"": 1.4, ""end"": 1.82, ""probability"": 0.53564453125}]",False
5,¿Qué dice usted que va a hacer hoy?,37.2,39.7,2.5,eit_output_v3/038010_2A_preprocessed/responses/response_05.wav,"¿Qué dices, Teres? ¿Qué va a ser hoy?",qué dices teres qué va a ser hoy,qué dice usted que va a hacer hoy,0.5,0.2727,8,8,0.0408,OK,mlx,64.632,"[{""word"": ""¿Qué"", ""start"": 0.0, ""end"": 0.22, ""probability"": 0.8896484375}, {""word"": ""dices,"", ""start"": 0.22, ""end"": 0.68, ""probability"": 0.9833984375}, {""word"": ""Teres?"", ""start"": 0.7, ""end"": 1.28, ""probability"": 0.58056640625}, {""word"": ""¿Qué"", ""start"": 1.28, ""end"": 1.46, ""probability"": 0.9765625}, {""word"": ""va"", ""start"": 1.46, ""end"": 1.66, ""probability"": 0.4921875}, {""word"": ""a"", ""start"": 1.66, ""end"": 1.68, ""probability"": 0.99658203125}, {""word"": ""ser"", ""start"": 1.68, ""end"": 1.92, ""probability"": 0.56884765625}, {""word"": ""hoy?"", ""start"": 1.92, ""end"": 2.34, ""probability"": 0.994140625}]",False
6,Dudo que sepa manejar muy bien,46.3,48.8,2.5,eit_output_v3/038010_2A_preprocessed/responses/response_06.wav,Dudo que sepa manejar muy bien.,dudo que sepa manejar muy bien,dudo que sepa manejar muy bien,0.0,0.0,6,6,0.076,OK,mlx,63.272,"[{""word"": ""Dudo"", ""start"": 0.0, ""end"": 0.34, ""probability"": 0.5380859375}, {""word"": ""que"", ""start"": 0.34, ""end"": 0.44, ""probability"": 0.95751953125}, {""word"": ""sepa"", ""start"": 0.44, ""end"": 0.9, ""probability"": 0.98388671875}, {""word"": ""manejar"", ""start"": 0.9, ""end"": 1.7, ""probability"": 0.998046875}, {""word"": ""muy"", ""start"": 1.7, ""end"": 1.96, ""probability"": 0.9970703125}, {""word"": ""bien."", ""start"": 1.96, ""end"": 2.26, ""probability"": 0.98974609375}]",False
7,Las calles de esta ciudad son muy anchas,56.1,59.2,3.1,eit_output_v3/038010_2A_preprocessed/responses/response_07.wav,Las calles de esta ciudad son muy anchas.,las calles de esta ciudad son muy anchas,las calles de esta ciudad son muy anchas,0.0,0.0,8,8,0.2222,OK,mlx,53.845,"[{""word"": ""Las"", ""start"": 0.0, ""end"": 0.26, ""probability"": 0.62255859375}, {""word"": ""calles"", ""start"": 0.26, ""end"": 0.76, ""probability"": 0.95068359375}, {""word"": ""de"", ""start"": 0.76, ""end"": 0.82, ""probability"": 0.95751953125}, {""word"": ""esta"", ""start"": 0.82, ""end"": 1.24, ""probability"": 0.927734375}, {""word"": ""ciudad"", ""start"": 1.24, ""end"": 1.56, ""probability"": 0.99609375}, {""word"": ""son"", ""start"": 1.56, ""end"": 2.02, ""probability"": 0.99658203125}, {""word"": ""muy"", ""start"": 2.02, ""end"": 2.32, ""probability"": 0.99951171875}, {""word"": ""anchas."", ""start"": 2.32, ""end"": 2.92, ""probability"": 0.97119140625}]",False
8,Puede que llueva mañana todo el día,67.5,70.1,2.6,eit_output_v3/038010_2A_preprocessed/responses/response_08.wav,Puede que lleve mañana todo el día.,puede que lleve mañana todo el día,puede que llueva mañana todo el día,0.1429,0.0571,7,7,0.0393,OK,mlx,60.112,"[{""word"": ""Puede"", ""start"": 0.0, ""end"": 0.26, ""probability"": 0.84619140625}, {""word"": ""que"", ""start"": 0.26, ""end"": 0.44, ""probability"": 0.97119140625}, {""word"": ""lleve"", ""start"": 0.44, ""end"": 1.2, ""probability"": 0.8076171875}, {""word"": ""mañana"", ""start"": 1.2, ""end"": 1.44, ""probability"": 0.93408203125}, {""word"": ""todo"", ""start"": 1.44, ""end"": 1.96, ""probability"": 0.93408203125}, {""word"": ""el"", ""start"": 1.96, ""end"": 2.22, ""probability"": 0.99609375}, {""word"": ""día."", ""start"": 2.22, ""end"": 2.5, ""probability"": 0.9345703125}]",False
9,Las casas son muy bonitas pero caras,78.7,83.2,4.5,eit_output_v3/038010_2A_preprocessed/responses/response_09.wav,"Las casas son muy bonitas, pero caras.",las casas son muy bonitas pero caras,las casas son muy bonitas pero caras,0.0,0.0,7,7,0.0588,OK,mlx,55.589,"[{""word"": ""Las"", ""start"": 0.0, ""end"": 0.2, ""probability"": 0.908203125}, {""word"": ""casas"", ""start"": 0.2, ""end"": 0.68, ""probability"": 0.99072265625}, {""word"": ""son"", ""start"": 0.68, ""end"": 0.84, ""probability"": 0.98779296875}, {""word"": ""muy"", ""start"": 0.84, ""end"": 1.12, ""probability"": 0.990234375}, {""word"": ""bonitas,"", ""start"": 1.12, ""end"": 1.8, ""probability"": 0.99609375}, {""word"": ""pero"", ""start"": 1.8, ""end"": 3.0, ""probability"": 0.96923828125}, {""word"": ""caras."", ""start"": 3.0, ""end"": 4.44, ""probability"": 0.990234375}]",False
10,Me gustan las películas que acaban bien,90.4,93.0,2.6,eit_output_v3/038010_2A_preprocessed/responses/response_10.wav,Me gustan las películas que acaban bien.,me gustan las películas que acaban bien,me gustan las películas que acaban bien,0.0,0.0,7,7,0.0122,OK,mlx,57.921,"[{""word"": ""Me"", ""start"": 0.0, ""end"": 0.18, ""probability"": 0.96826171875}, {""word"": ""gustan"", ""start"": 0.18, ""end"": 0.58, ""probability"": 0.93408203125}, {""word"": ""las"", ""start"": 0.58, ""end"": 0.72, ""probability"": 0.99560546875}, {""word"": ""películas"", ""start"": 0.72, ""end"": 1.58, ""probability"": 0.9794921875}, {""word"": ""que"", ""start"": 1.58, ""end"": 1.78, ""probability"": 0.99609375}, {""word"": ""acaban"", ""start"": 1.78, ""end"": 2.24, ""probability"": 0.87060546875}, {""word"": ""bien."", ""start"": 2.24, ""end"": 2.48, ""probability"": 0.9990234375}]",False
