word,start,end,probability,stimulus_id
Quiero,0.0,0.38,0.8017578125,1
cortarme,0.38,1.06,0.978515625,1
el,1.06,1.28,0.2890625,1
pelo,1.28,1.6,0.9970703125,1
El,0.0,0.3,0.77490234375,2
libro,0.3,0.52,0.85791015625,2
está,0.52,0.92,0.8251953125,2
en,0.92,1.18,0.9794921875,2
la,1.18,1.3,0.95361328125,2
mesa,1.3,1.62,0.99951171875,2
El,0.0,0.26,0.6064453125,3
carro,0.26,0.58,0.1436767578125,3
lo,0.58,0.98,0.8818359375,3
tiene,0.98,1.3,0.99462890625,3
Pedro,1.3,1.8,2.5510787963867188e-05,3
El,0.0,0.36,0.05059814453125,4
se,0.36,0.5,0.14306640625,4
ducha,0.5,0.86,0.080322265625,4
cada,0.86,1.3,0.00036072731018066406,4
mañana,1.3,1.64,0.974609375,4
¿Qué,0.0,0.24,0.529296875,5
dice,0.24,0.62,0.457275390625,5
usted,0.62,1.12,0.004772186279296875,5
que,1.12,1.44,0.130859375,5
va,1.44,1.7,0.64599609375,5
a,1.7,1.86,0.98681640625,5
hacer,1.86,1.98,0.216064453125,5
hoy?,1.98,2.4,0.9951171875,5
Dudo,0.0,0.32,0.061248779296875,6
que,0.32,0.54,0.86572265625,6
sepa,0.54,0.94,0.8095703125,6
manejar,0.94,1.78,0.3974609375,6
muy,1.78,2.04,0.88916015625,6
bien,2.04,2.34,0.99462890625,6
Las,0.0,0.32,0.0797119140625,7
calles,0.32,0.78,0.541015625,7
de,0.78,0.96,0.64697265625,7
esta,0.96,1.2,0.032073974609375,7
ciudad,1.2,1.64,0.99560546875,7
son,1.64,2.16,0.98828125,7
muy,2.16,2.44,0.99560546875,7
anchas,2.44,3.0,0.4873046875,7
Puede,0.0,0.3,0.7578125,8
que,0.3,0.5,0.99267578125,8
llueva,0.5,1.28,0.2841796875,8
mañana,1.28,1.62,0.98193359375,8
todo,1.62,2.06,0.75146484375,8
el,2.06,2.34,0.994140625,8
día,2.34,2.56,0.98828125,8
Las,0.0,0.28,0.83837890625,9
casas,0.28,0.72,0.95458984375,9
son,0.72,0.96,0.98388671875,9
muy,0.96,1.22,0.99365234375,9
bonitas,1.22,1.78,0.99609375,9
pero,1.78,3.02,0.59912109375,9
caras,3.02,4.52,0.8662109375,9
Me,0.0,0.24,0.78271484375,10
gustan,0.24,0.64,0.94873046875,10
las,0.64,0.82,0.99658203125,10
películas,0.82,1.62,0.96044921875,10
que,1.62,1.84,0.88818359375,10
acaban,1.84,2.3,0.57470703125,10
bien,2.3,2.52,0.99462890625,10
