Model,Architecture,Params (M),WER (CV15 es) %,CER (CV15 es) %,RTF (CPU),RTF (GPU/ANE),Word Timestamps,Stimulus Prompt,Disfluency Cap.,Open Source,Pipeline,Notes,EIT Suitability (0–5)
Whisper tiny,Enc-Dec Transformer,39.0,16.1,8.2,0.3×,0.05×,Yes,Yes,Partial,Yes,Yes,Too small for L2 speech; high hallucination risk,1
Whisper base,Enc-Dec Transformer,74.0,11.2,5.9,0.5×,0.10×,Yes,Yes,Partial,Yes,Yes,Low-resource fallback only,2
Whisper small  ◀ used,Enc-Dec Transformer,244.0,7.8,3.8,1.2×,0.25×,Yes,Yes,Moderate,Yes,Yes,Pipeline default; mean WER=0.23–0.61 on EIT data,3
Whisper medium,Enc-Dec Transformer,769.0,5.6,2.7,3.0×,0.60×,Yes,Yes,Good,Yes,Yes,Good balance; recommended upgrade from small,4
Whisper large-v2,Enc-Dec Transformer,1550.0,4.2,2.1,6.0×,1.20×,Yes,Yes,Good,Yes,Yes,High accuracy; slower CPU inference,4
Whisper large-v3  ★,Enc-Dec Transformer,1550.0,3.9,1.9,6.0×,1.20×,Yes,Yes,Good,Yes,Yes,Best open Whisper; recommended for final EIT pipeline,5
Whisper large-v3-turbo,Enc-Dec Transformer (distilled),809.0,4.3,2.1,3.5×,0.65×,Yes,Yes,Good,Yes,Yes,2× faster than large-v3; ~0.4% WER cost (Oct 2024),5
faster-whisper large-v3,CTranslate2 (Whisper),1550.0,3.9,1.9,2.0×,0.30×,Yes,Yes,Good,Yes,No ⁱ,Same accuracy as large-v3; 3× faster CPU via int8. Needs faster-whisper backend adapter.,5
whisper-large-v3 (es fine-tune),Enc-Dec Transformer (fine-tuned),1550.0,2.8,1.4,6.0×,1.20×,Yes,Yes,Good,Yes,Yes ²,HF fine-tunes (e.g. zuazo/whisper-large-v3-es). Loadable via OpenAI backend with HF model path.,5
wav2vec2-XLSR-53-es,Wav2Vec2 CTC (fine-tuned),965.0,7.8,3.2,2.5×,0.50×,Token-level,No,Good (CTC preserves all),Yes,No,No hallucination; CTC = no stimulus prompt. Needs new backend adapter.,3
wav2vec2-large-es (jonatasgrosman),Wav2Vec2 CTC (fine-tuned),317.0,9.2,3.8,1.8×,0.40×,Token-level,No,Good (CTC preserves all),Yes,No,Lighter alternative; suitable for CPU-only setups. Needs new backend adapter.,3
MMS-300M (facebook),Wav2Vec2 MMS fine-tuned,300.0,5.8,2.4,2.0×,0.40×,No,No,Moderate,Yes,No,1162 languages; FLEURS es WER ~5.4%. Needs new backend adapter.,3
MMS-1B-all (facebook),Wav2Vec2 MMS fine-tuned,1000.0,4.8,2.0,4.5×,0.90×,No,No,Moderate,Yes,No,Best MMS; 1162-lang model; FLEURS es WER ~3.6%. Needs new backend adapter.,3
SeamlessM4T-v2-large (Meta),Multimodal Transformer (S2T),2300.0,4.1,2.0,8.0×,1.60×,Yes,No,Moderate,Yes,No,Also does S2T translation; large memory footprint. Needs new backend adapter.,3
NeMo Conformer-CTC-Large (es),Conformer CTC,120.0,6.1,2.5,1.0×,0.15×,Yes (CTC align),No,Good (CTC),Yes,No,Fastest open model; good for real-time use. Needs new backend adapter.,3
Google Cloud STT v2 (es-ES),Proprietary (USM-based),,3.0,1.4,API,API (~0.1×),Yes,No,Yes (disfluency model),No,No,Best commercial accuracy; data privacy concerns for learner data.,4
Azure Speech (es-ES),Proprietary (Microsoft),,3.2,1.5,API,API (~0.1×),Yes,No,Yes,No,No,HIPAA/FERPA compliant; custom model support.,4
AssemblyAI Nano (es),Proprietary (Conformer),,4.5,2.2,API,API (~0.15×),Yes,No,Yes,No,No,Developer-friendly API; word-level confidence scores.,3
Deepgram Nova-2 (es),Proprietary (end-to-end),,3.5,1.7,API,API (~0.05×),Yes,No,Yes,No,No,Fastest API; streaming latency <300 ms.,3
